,,DoppelGANger_0903 gen probability,DoppelGANger_0903 ori probability
complicated_malaria_no,True,0.021242947512395305,0.12203215169002468
complicated_malaria_not_assessed,True,0.9787570524876047,0.8762159934047815
complicated_malaria_yes,True,0.0,0.001751854905193695
febrile_no,True,0.7887031971277141,0.6865828524319868
febrile_yes,True,0.21129680287228592,0.3134171475680132
ITN_no,True,0.0,0.0017312448474855469
ITN_not_applicable,True,0.02878697213198833,0.027761747732893638
ITN_yes,True,0.9712130278680117,0.9705070074196208
malaria_no,True,0.9772183279193024,0.8762159934047815
malaria_yes,True,0.02278167208069759,0.12378400659521849
malaria_parasite_blood_smear_indicated_but_not_done,True,0.0,4.122011541629611e-05
malaria_parasite_blood_smear_negative_/_lamp_negative,True,0.4932680800136775,0.36642621599340475
malaria_parasite_blood_smear_negative_/_lamp_not_done,True,0.3392032826124124,0.23015251442704043
malaria_parasite_blood_smear_negative_/_lamp_positive,True,0.020644554624722145,0.09348722176422097
malaria_parasite_blood_smear_not_indicated,True,0.030753120191485683,0.12186727122835939
malaria_parasite_blood_smear_positive_/_no_malaria,True,0.002158488630535138,0.06424154987633968
malaria_parasite_symptomatic_malaria,True,0.11397247392716703,0.12378400659521849
malaria_treatment_artmether-lumefantrine_for_uncomplicated_malaria,True,0.023508292015729237,0.12108408903544932
malaria_treatment_no_malaria_medications_given,True,0.9764917079842708,0.8762159934047815
malaria_treatment_quinine_for_uncomplicated_malaria_in_the_1st_trimester_of_pregnancy,True,0.0,0.00018549051937344352
malaria_treatment_quinine_for_uncomplicated_malaria_within_14_days_of_a_previous_treatment_for_malaria,True,0.0,0.0007625721352020332
malaria_treatment_quinine_or_artesunate_for_complicated_malaria,True,0.0,0.001751854905193695
plasmodium_gametocytes_no,True,0.9999358864763207,0.9862530915086563
plasmodium_gametocytes_yes,True,6.41135236792989e-05,0.013746908491343746
plasmodium_lamp_negative,True,0.3567490169259703,0.36642621599340475
plasmodium_lamp_no_result,True,0.6323944263976748,0.5400865622423743
plasmodium_lamp_positive,True,0.010856556676354878,0.09348722176422097
visit_type_enrollment,True,0.02878697213198833,0.027761747732893638
visit_type_scheduled_visit,True,0.6061292528637374,0.5729596042868921
visit_type_unscheduled_visit,True,0.36508377500427425,0.3992786479802144
