,original,generated
0,1.0,1.0
1,0.9527284793994183,0.9662405778964392
2,0.8864581674161969,0.9542728943929506
3,0.8264159656199063,0.9527362067384633
4,0.7744650733953405,0.9519807824628093
5,0.7197158626807059,0.9552070472106695
6,0.688013361994997,0.956594963610677
7,0.6936387149531825,0.9558168858429521
8,0.7262681713894468,0.9533019067708871
9,0.7598311861439747,0.9486826061308296
10,0.809254916711533,0.9465317893587479
11,0.8624920886948391,0.9434882621997676
12,0.9082602272678595,0.9376706603762558
13,0.9065023253682916,0.9369265872335791
14,0.863674293913404,0.934132639996665
15,0.8108598719997959,0.9348229810945106
16,0.7604412887172962,0.930847639416217
17,0.7057988862721254,0.9260765564246473
18,0.6614687667934969,0.923913440065265
19,0.6417231852323294,0.9225107276806701
20,0.6526640222269259,0.916421728190125
21,0.6745068342234253,0.9126947233589476
22,0.711414190283146,0.9125398716973985
23,0.7625324680283794,0.9060330704977426
24,0.8144071525183905,0.9035602419485582
25,0.8375074800909509,0.8991401121026344
26,0.8324941257743596,0.8960388933474668
27,0.7996960074498789,0.8908977147787642
28,0.7551620187090422,0.8895541400701235
29,0.7041602229948639,0.8856158559984109
30,0.6529662643705996,0.8804982081925943
31,0.6187541804526402,0.875855772912686
32,0.6060054016264722,0.8703738685546494
33,0.6096146376318519,0.8680904553635749
34,0.6334385500188694,0.8654363112166547
35,0.6704033603027755,0.8591326664284314
36,0.7209846140331142,0.8526184469845727
37,0.7557476649655342,0.8504178795320004
38,0.7681527292109205,0.8463548687734828
39,0.7605297502494359,0.8434773830770843
40,0.7314513780197206,0.836543008913737
